	1970s	1980s	1990s	2000s	2010s	1970s	1980s	1990s	2000s	2010s	1974-75	1975-76	1976-77	1977-78	1978-79	1979-80	1980-81	1981-82	1982-83	1983-84	1984-85	1985-86	1986-87	1987-88	1988-89	1989-90	1990-91	1991-92	1992-93	1993-94	1994-95	1995-96	1996-97	1997-98	1998-99	1999-2000	2000-01	2001-02	2002-03	2003-04	2004-05	2005-06	2006-07	2007-08	2008-09	2009-10	2010-11	2011-12	2012-13	2013-14	2014-15
 CALGARY 	0	0	0	0	1	N/A	N/A	N/A	N/A	0.20%	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	2.80%	0.40%	1.10%	5.90%	-6.80%	-2.00%
" CALIFORNIA, BERKELEY "	1	1	1	1	1	8.40%	8.60%	6.30%	3.80%	5.80%	-8.60%	7.50%	5.40%	9.50%	28.10%	7.20%	14.70%	7.20%	3.50%	14.10%	4.00%	7.30%	10.50%	9.80%	7.90%	1.50%	12.80%	7.90%	-0.50%	18.60%	-0.70%	-3.90%	3.80%	5.60%	17.80%	4.80%	15.10%	17.00%	-10.30%	-1.10%	-3.60%	12.40%	13.00%	2.00%	-11.30%	0.00%	-1.00%	16.90%	-5.80%	16.90%	8.20%
" CALIFORNIA, DAVIS "	1	1	1	1	1	7.40%	9.40%	5.70%	1.80%	1.40%	-6.10%	13.50%	-0.70%	7.80%	22.70%	-4.10%	26.10%	7.30%	21.10%	-4.20%	6.30%	12.10%	4.40%	10.10%	14.40%	-0.80%	5.70%	1.40%	-6.20%	-13.90%	27.10%	6.10%	-2.50%	-3.70%	43.30%	8.50%	-9.00%	-0.30%	-27.20%	27.80%	-17.70%	34.90%	1.50%	-7.70%	7.50%	-14.40%	11.70%	4.50%	0.20%	2.40%	3.90%
" CALIFORNIA, IRVINE "	0	0	1	1	1	N/A	N/A	5.50%	5.70%	0.10%	N/A	N/A	N/A	N/A	N/A	N/A	N/A	1.50%	23.70%	5.10%	11.40%	10.80%	1.50%	-2.80%	13.30%	4.60%	5.20%	13.90%	-11.00%	4.40%	5.80%	3.70%	-8.10%	10.40%	26.60%	21.70%	-8.80%	6.10%	7.30%	-5.50%	2.70%	12.80%	10.40%	10.20%	-0.20%	2.40%	-8.90%	-8.60%	4.20%	10.50%	1.10%
" CALIFORNIA, LOS ANGELES "	1	1	1	1	1	9.00%	9.80%	96.90%	3.40%	1.50%	-2.90%	9.30%	2.60%	23.40%	12.80%	7.90%	8.00%	15.30%	18.20%	5.00%	12.30%	17.10%	8.80%	-4.10%	9.50%	1031.50%	-90.60%	-0.30%	2.90%	4.40%	5.90%	0.10%	-3.30%	4.50%	13.90%	-3.10%	8.00%	19.30%	-7.20%	0.60%	-6.70%	27.50%	-1.70%	0.70%	-3.60%	-14.30%	8.90%	2.30%	3.90%	8.80%	-0.40%
" CALIFORNIA, RIVERSIDE "	0	1	1	1	1	N/A	11.70%	6.40%	2.30%	0.60%	N/A	N/A	N/A	N/A	N/A	19.40%	-36.40%	94.30%	5.20%	8.20%	18.40%	6.10%	8.40%	-2.80%	-3.60%	23.20%	-3.10%	-2.00%	3.60%	5.30%	10.10%	5.10%	2.70%	8.40%	10.60%	0.20%	2.90%	-5.00%	18.60%	12.30%	4.40%	12.20%	1.10%	-7.00%	-16.40%	3.80%	-8.00%	-10.90%	5.40%	2.70%	10.40%
" CALIFORNIA, SAN DIEGO "	1	1	1	1	1	8.00%	9.20%	3.90%	5.50%	-1.20%	-10.00%	18.50%	-0.10%	15.70%	15.90%	4.00%	12.80%	11.20%	11.90%	8.40%	13.40%	15.60%	2.40%	-7.90%	20.60%	10.40%	0.70%	2.20%	0.30%	2.40%	14.50%	5.30%	-0.30%	-0.10%	3.20%	10.40%	18.10%	-1.10%	7.80%	1.40%	0.60%	-4.80%	7.30%	12.70%	3.10%	-3.30%	-6.80%	0.60%	-0.20%	7.10%	-4.70%
" CALIFORNIA, SANTA BARBARA "	1	1	1	1	1	9.10%	7.10%	6.50%	2.10%	0.70%	3.50%	22.90%	-14.80%	19.70%	14.40%	-0.60%	34.50%	8.50%	-2.60%	-0.40%	15.60%	15.20%	6.70%	1.30%	-7.30%	6.70%	12.70%	1.60%	-6.10%	-5.30%	13.80%	-10.90%	35.70%	-28.00%	44.50%	-14.10%	27.70%	6.10%	20.30%	-15.60%	0.90%	-8.30%	3.60%	6.90%	-6.00%	-11.80%	22.00%	-8.40%	3.20%	5.70%	-6.50%
 CASE WESTERN RESERVE 	1	1	1	1	1	9.70%	11.10%	6.00%	4.40%	0.50%	-3.40%	33.70%	5.50%	5.90%	7.00%	6.40%	27.00%	-5.60%	8.90%	9.00%	14.60%	13.20%	15.00%	15.30%	6.80%	7.10%	4.50%	13.40%	11.00%	8.20%	5.20%	0.50%	5.00%	2.40%	2.20%	7.10%	4.40%	4.50%	12.30%	12.00%	4.60%	-7.10%	0.40%	5.80%	0.10%	5.50%	4.50%	-2.10%	0.40%	5.30%	-10.80%
 CENTER FOR RESEARCH LIBS 	0	0	0	0	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	19.20%	-4.20%	23.80%	N/A	N/A	N/A	N/A	N/A	63.60%
 CHICAGO 	1	1	1	1	1	7.10%	10.60%	7.70%	7.20%	-0.10%	12.80%	2.90%	-0.80%	-4.90%	25.30%	13.80%	15.30%	-10.20%	24.90%	1.80%	16.90%	15.60%	19.00%	-4.20%	13.30%	7.50%	10.70%	7.30%	4.00%	5.00%	15.10%	8.60%	1.80%	0.40%	16.40%	4.30%	16.10%	5.90%	6.70%	6.80%	0.20%	22.00%	-2.00%	9.80%	2.10%	0.40%	3.00%	0.40%	-2.60%	5.00%	-6.60%
 CINCINNATI 	1	1	1	1	1	7.10%	13.60%	5.70%	4.60%	0.50%	-3.80%	8.00%	1.90%	13.10%	16.30%	33.10%	44.90%	-23.50%	24.30%	-2.10%	10.90%	10.60%	15.30%	12.50%	10.20%	2.00%	17.20%	-13.20%	14.40%	9.70%	2.50%	3.10%	6.40%	6.90%	8.00%	7.20%	8.40%	5.40%	3.10%	9.80%	10.80%	1.30%	-6.00%	7.10%	-1.00%	0.80%	2.80%	-0.90%	1.30%	-3.90%	2.70%
 COLORADO 	1	1	1	1	1	-1.90%	14.20%	8.70%	3.50%	2.40%	-13.00%	-21.40%	8.90%	-2.60%	18.30%	-2.50%	13.60%	46.50%	6.30%	6.40%	8.60%	6.30%	16.70%	8.70%	31.90%	18.90%	5.00%	38.60%	0.90%	-3.00%	1.30%	16.60%	6.60%	-6.30%	7.90%	-3.60%	1.00%	3.80%	3.50%	1.10%	2.00%	5.80%	3.40%	14.30%	3.40%	0.20%	-9.40%	2.90%	2.50%	2.60%	15.80%
 COLORADO STATE 	0	1	1	1	1	N/A	13.40%	6.60%	4.70%	4.30%	N/A	12.10%	4.60%	3.70%	1.90%	12.00%	16.20%	14.70%	4.10%	25.90%	-7.30%	-1.90%	23.50%	36.00%	11.20%	9.00%	-6.60%	11.40%	8.00%	9.80%	9.90%	5.00%	10.90%	1.20%	7.10%	30.60%	4.60%	-10.60%	44.80%	-0.20%	-26.90%	0.40%	0.20%	4.20%	-0.60%	7.90%	-3.60%	6.80%	5.40%	2.60%	6.80%
 COLUMBIA 	1	1	1	1	1	9.10%	11.60%	6.80%	7.50%	4.10%	-3.60%	23.90%	-5.40%	25.90%	4.80%	27.40%	1.10%	-4.10%	24.40%	11.60%	14.80%	12.20%	5.50%	12.10%	10.60%	7.80%	11.80%	1.90%	5.20%	7.90%	2.40%	7.90%	6.20%	11.90%	4.70%	7.60%	5.80%	8.00%	2.30%	16.80%	8.90%	9.70%	5.90%	6.50%	3.70%	7.70%	0.80%	2.10%	1.80%	6.40%	5.70%
 CONNECTICUT 	1	1	1	1	1	5.90%	9.80%	5.00%	5.20%	2.00%	-15.10%	14.30%	7.20%	-0.50%	23.70%	-14.20%	8.60%	-6.30%	22.70%	10.30%	18.40%	10.90%	9.70%	11.90%	25.50%	-0.30%	4.70%	-1.70%	19.10%	-8.00%	2.80%	0.40%	26.40%	-7.10%	13.70%	21.50%	-7.30%	2.50%	1.20%	11.60%	-1.00%	-4.20%	13.50%	0.70%	13.10%	1.50%	1.50%	1.80%	1.80%	-1.50%	6.70%
 CORNELL 	1	1	1	1	1	4.00%	9.20%	7.00%	4.20%	5.00%	-18.40%	9.50%	11.40%	10.80%	6.70%	14.60%	13.20%	-2.40%	18.60%	13.10%	2.20%	15.00%	12.90%	-12.80%	17.10%	4.40%	19.60%	4.10%	17.80%	-1.20%	3.10%	2.20%	5.80%	9.60%	4.70%	4.40%	8.00%	7.80%	0.60%	21.10%	-16.20%	4.40%	4.40%	5.50%	2.00%	-7.70%	6.60%	21.30%	3.00%	8.50%	-1.70%
 DARTMOUTH 	1	1	1	1	1	6.70%	11.40%	5.70%	6.00%	2.20%	-0.80%	11.40%	11.60%	7.50%	3.70%	8.70%	14.10%	3.80%	14.70%	12.00%	8.00%	12.10%	17.00%	-2.60%	26.40%	-4.80%	11.80%	12.70%	1.80%	4.30%	2.00%	8.20%	8.00%	8.10%	4.80%	12.80%	4.20%	10.50%	-0.10%	4.20%	0.90%	7.00%	8.40%	5.60%	6.00%	0.20%	-6.20%	9.90%	5.70%	4.20%	-0.50%
 DELAWARE 	0	0	1	1	1	N/A	N/A	4.00%	4.40%	3.30%	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	16.60%	13.30%	6.30%	9.20%	9.60%	14.40%	7.60%	-4.50%	0.80%	-1.40%	5.60%	4.40%	5.90%	2.70%	7.30%	11.60%	0.70%	11.40%	-2.30%	5.10%	5.10%	3.60%	8.70%	4.70%	5.10%	1.80%	2.20%	1.70%	0.30%	7.00%	4.70%	4.20%
 DUKE 	1	1	1	1	1	8.80%	10.70%	7.30%	5.50%	3.60%	13.70%	-0.50%	4.70%	14.40%	11.60%	11.60%	10.70%	13.80%	6.60%	16.90%	-1.70%	15.90%	17.30%	3.40%	12.50%	7.70%	-1.40%	17.30%	5.90%	13.50%	1.90%	7.20%	8.50%	9.50%	3.10%	5.70%	6.80%	8.60%	4.10%	-4.70%	2.70%	13.70%	19.90%	-1.40%	-0.30%	6.50%	3.30%	5.20%	3.30%	-4.90%	8.20%
 EMORY 	1	1	1	1	1	47.50%	-1.40%	8.20%	7.20%	1.40%	N/A	217.40%	-60.10%	12.30%	20.50%	-100.00%	N/A	9.40%	9.80%	9.80%	13.10%	6.40%	13.40%	13.80%	11.50%	9.20%	14.80%	0.20%	10.60%	15.10%	2.40%	7.90%	7.50%	16.10%	-2.10%	16.00%	-3.30%	15.40%	1.00%	7.00%	10.20%	5.30%	12.80%	-6.20%	13.90%	-2.80%	0.10%	2.20%	4.50%	0.40%	3.80%
 FLORIDA 	1	1	1	1	1	43.60%	3.70%	8.30%	3.60%	1.40%	-20.70%	5.20%	-1.60%	223.40%	11.60%	-19.90%	-2.80%	-15.60%	4.50%	-10.90%	28.80%	25.40%	7.50%	17.20%	2.60%	49.90%	-25.30%	-18.50%	8.50%	20.60%	9.30%	4.30%	10.30%	25.30%	-1.10%	10.60%	21.50%	-6.20%	-8.40%	-0.50%	5.20%	1.10%	9.50%	4.90%	-1.30%	-2.10%	14.10%	-5.00%	0.40%	-1.90%	2.80%
 FLORIDA STATE 	1	1	1	1	1	41.70%	4.30%	5.40%	6.90%	3.00%	-11.90%	-11.50%	-5.10%	236.20%	0.80%	-34.70%	1.50%	-16.60%	5.30%	-14.90%	46.40%	24.70%	16.20%	5.80%	9.00%	53.40%	-25.50%	-2.90%	3.60%	-0.60%	13.00%	-5.40%	3.10%	15.50%	-0.40%	8.30%	69.60%	-29.60%	2.50%	-4.20%	4.30%	10.80%	-10.60%	19.60%	-1.50%	8.50%	16.00%	-10.40%	-2.00%	6.00%	0.10%
 GEORGE WASHINGTON 	0	0	0	1	1	N/A	N/A	N/A	7.10%	2.00%	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	8.80%	-0.50%	6.80%	30.80%	11.00%	8.50%	-6.00%	3.10%	7.10%	2.50%	7.60%	3.00%	0.10%	3.90%	-1.50%	3.40%	3.30%
 GEORGETOWN 	1	1	1	1	1	8.30%	11.20%	7.60%	6.10%	2.00%	12.70%	-14.40%	18.00%	18.50%	6.60%	25.70%	10.90%	9.90%	15.50%	11.80%	13.10%	11.30%	4.00%	1.90%	8.30%	19.60%	6.40%	9.00%	7.00%	4.80%	12.10%	2.70%	9.00%	-1.30%	7.10%	10.60%	5.30%	-1.10%	7.30%	7.60%	4.70%	15.10%	0.30%	4.00%	6.80%	0.80%	-2.90%	5.10%	11.10%	4.90%	-6.80%
 GEORGIA 	1	1	1	1	1	3.40%	8.50%	6.50%	2.00%	4.10%	-6.10%	9.50%	0.20%	6.00%	7.10%	5.90%	2.40%	15.00%	10.20%	8.40%	12.20%	17.30%	-1.90%	1.90%	14.00%	12.40%	-6.50%	11.60%	2.90%	4.10%	7.80%	7.10%	5.70%	14.50%	5.10%	3.90%	5.60%	2.10%	2.80%	4.30%	7.00%	1.90%	5.40%	-1.80%	-10.70%	1.20%	8.10%	3.20%	2.70%	6.70%	2.70%
 GEORGIA TECH 	0	0	1	1	1	N/A	N/A	7.80%	3.70%	4.80%	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	-4.80%	6.70%	-0.40%	18.00%	21.50%	11.70%	-5.10%	7.40%	6.20%	-0.40%	26.50%	14.10%	7.80%	5.30%	16.10%	0.00%	2.10%	-2.60%	7.20%	-2.20%	15.50%	2.70%	0.20%	11.40%	4.90%	-2.70%	-4.70%	14.90%	4.90%	-1.60%	9.60%	6.00%
 GUELPH 	0	1	1	1	1	N/A	6.50%	3.70%	9.30%	2.40%	N/A	N/A	N/A	N/A	N/A	-6.50%	28.30%	7.70%	6.80%	7.40%	-13.50%	24.90%	-4.00%	-0.10%	13.80%	31.10%	-8.90%	7.70%	8.10%	-7.10%	0.40%	-4.80%	10.70%	-8.60%	8.50%	8.80%	-3.70%	-1.60%	25.30%	29.00%	13.10%	6.70%	7.30%	5.10%	2.40%	6.80%	6.80%	3.10%	5.60%	-0.80%	-6.80%
 HARVARD 	1	1	1	1	1	9.30%	9.70%	7.20%	5.30%	5.80%	-4.50%	13.40%	9.10%	9.10%	19.40%	17.30%	14.50%	0.90%	8.10%	13.00%	-2.80%	16.00%	18.00%	5.90%	6.00%	4.10%	7.90%	5.50%	8.20%	6.10%	4.20%	5.70%	10.80%	10.30%	9.70%	4.90%	5.60%	9.00%	3.50%	5.10%	-1.10%	2.10%	5.50%	15.50%	2.90%	-8.40%	-3.50%	44.80%	-5.30%	4.70%	2.30%
 HAWAII 	0	1	1	1	1	N/A	8.70%	4.20%	7.60%	5.60%	N/A	N/A	-5.70%	20.90%	3.90%	21.50%	8.70%	17.40%	2.50%	-4.70%	2.00%	24.60%	-3.00%	7.30%	10.30%	17.00%	1.10%	12.90%	3.60%	9.00%	-20.30%	-13.60%	5.40%	12.60%	14.60%	15.50%	-1.20%	21.60%	7.50%	1.60%	-5.70%	28.80%	3.30%	-8.80%	13.10%	-10.50%	-1.00%	11.20%	10.70%	-11.20%	34.20%
 HOUSTON 	0	1	1	1	1	N/A	6.10%	5.90%	7.30%	3.80%	N/A	5.00%	5.40%	-20.50%	1.00%	-25.90%	0.70%	19.20%	30.20%	6.40%	12.20%	-3.50%	1.50%	13.70%	6.10%	-14.50%	7.20%	19.60%	17.00%	8.80%	9.30%	-9.40%	4.70%	13.20%	2.60%	23.40%	1.50%	6.20%	3.40%	5.10%	6.40%	5.70%	2.20%	7.40%	11.10%	6.50%	3.20%	-2.80%	11.60%	-3.30%	7.40%
 HOWARD 	1	1	1	1	1	26.60%	15.10%	6.70%	-3.10%	3.70%	30.80%	-13.00%	86.10%	23.90%	5.10%	46.80%	41.40%	25.30%	-4.50%	49.10%	-41.20%	21.20%	20.30%	0.40%	-7.80%	-0.10%	5.70%	2.60%	-12.10%	5.10%	18.10%	-16.80%	-0.80%	29.70%	35.10%	-42.90%	-0.70%	15.40%	1.10%	-7.90%	-1.70%	-12.20%	3.90%	7.90%	6.50%	-22.50%	23.20%	-3.50%	26.30%	21.80%	-22.90%
" ILLINOIS, CHICAGO "	0	0	1	1	1	N/A	N/A	5.80%	6.70%	-1.40%	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	9.20%	9.80%	8.50%	-9.40%	17.30%	-3.30%	7.20%	17.70%	-0.30%	-8.30%	18.60%	15.00%	-2.40%	6.60%	-5.70%	14.30%	5.30%	5.70%	4.40%	7.00%	17.10%	-23.20%	9.70%	1.80%	-4.10%	-8.40%	15.80%
" ILLINOIS, URBANA "	1	1	1	1	1	5.90%	8.00%	5.30%	4.70%	5.20%	3.80%	-19.70%	42.50%	-21.30%	24.40%	12.60%	1.70%	27.30%	-12.40%	24.10%	8.10%	5.60%	-5.80%	11.60%	7.70%	9.20%	-0.50%	7.80%	1.90%	11.40%	0.80%	2.80%	3.40%	8.80%	7.80%	3.40%	18.10%	0.80%	3.00%	3.10%	5.70%	-7.70%	20.70%	-3.20%	3.30%	5.20%	8.10%	15.60%	-0.30%	0.90%	1.70%
 INDIANA 	1	1	1	1	1	13.10%	4.90%	5.70%	5.40%	2.90%	12.30%	20.20%	-0.70%	7.50%	26.00%	-34.30%	14.70%	-2.70%	16.30%	10.70%	0.30%	11.40%	9.20%	5.10%	18.50%	11.00%	6.00%	6.10%	7.40%	7.90%	10.70%	-6.50%	8.50%	4.20%	1.60%	17.40%	-2.70%	8.10%	10.60%	0.80%	0.50%	9.70%	-4.90%	24.80%	-10.40%	-8.80%	5.60%	4.40%	2.10%	5.60%	8.60%
 IOWA 	1	1	1	1	1	14.80%	8.30%	5.90%	5.70%	5.00%	12.90%	30.90%	21.70%	5.00%	3.30%	8.60%	12.30%	7.80%	12.40%	-2.00%	10.60%	15.10%	9.50%	0.80%	7.70%	5.00%	7.60%	-2.90%	5.70%	5.10%	8.50%	3.00%	7.70%	12.50%	7.40%	9.50%	3.10%	8.90%	2.10%	6.60%	7.50%	5.70%	3.80%	4.30%	5.10%	5.50%	6.10%	6.60%	3.10%	6.00%	2.80%
 IOWA STATE 	1	1	1	1	1	7.90%	7.50%	7.80%	7.70%	2.40%	-2.70%	13.60%	14.00%	10.00%	4.50%	8.50%	4.20%	17.50%	12.70%	10.70%	7.30%	-7.50%	12.50%	-0.80%	10.20%	10.70%	8.00%	8.50%	11.80%	1.30%	8.00%	7.50%	8.40%	9.30%	4.30%	8.20%	9.50%	6.60%	12.70%	-8.10%	5.50%	3.40%	4.00%	1.20%	34.20%	-27.70%	34.60%	-6.70%	20.80%	-0.20%	-6.60%
 JOHNS HOPKINS 	1	1	1	1	1	5.00%	115.40%	7.40%	5.10%	5.00%	-3.50%	18.10%	5.80%	5.10%	-0.20%	23.50%	15.90%	12.80%	9.40%	4.30%	12.60%	-89.40%	1136.20%	20.50%	8.40%	5.70%	11.50%	10.90%	13.80%	2.80%	8.40%	5.60%	3.10%	8.90%	3.60%	9.70%	8.90%	2.10%	4.50%	8.40%	-0.10%	11.10%	4.10%	4.40%	-1.70%	0.00%	6.30%	9.60%	5.40%	3.50%	5.20%
 JOINT UNIVERSITY 	1	0	0	0	0	9.60%	N/A	N/A	N/A	N/A	25.60%	5.90%	0.10%	8.90%	7.30%	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
 KANSAS 	1	1	1	1	1	13.40%	8.30%	5.70%	4.30%	1.00%	7.70%	-3.90%	44.00%	7.30%	12.00%	10.20%	19.80%	14.70%	6.50%	2.20%	10.60%	4.80%	7.60%	5.80%	0.50%	22.40%	-1.30%	2.40%	11.70%	1.10%	-2.20%	2.40%	12.50%	0.60%	7.00%	-0.80%	8.70%	5.90%	5.90%	-0.10%	8.20%	-3.40%	6.80%	11.40%	0.40%	-0.90%	-2.00%	8.80%	-6.60%	6.60%	-0.20%
 KENT STATE 	1	1	1	1	1	5.90%	13.50%	4.00%	4.10%	5.70%	0.10%	10.20%	17.50%	-15.00%	16.90%	33.80%	-3.50%	18.30%	-12.30%	-3.00%	43.40%	7.70%	0.70%	36.60%	13.80%	13.10%	7.40%	4.00%	1.30%	3.50%	-6.70%	16.20%	1.30%	0.10%	-0.50%	8.60%	8.00%	-5.00%	17.40%	3.10%	-12.00%	5.00%	7.50%	4.40%	4.00%	4.80%	18.70%	-0.30%	5.10%	-1.80%	7.50%
 KENTUCKY 	1	1	1	1	1	8.00%	7.90%	7.60%	5.70%	-0.60%	-7.90%	26.20%	14.10%	7.30%	0.50%	7.80%	11.40%	16.10%	11.80%	-5.80%	12.40%	5.60%	14.30%	-3.30%	9.20%	10.70%	4.50%	16.00%	-2.50%	2.00%	12.70%	4.90%	12.40%	7.20%	8.50%	20.40%	2.30%	25.20%	-4.20%	-0.40%	0.00%	0.50%	6.50%	3.40%	3.40%	1.60%	0.40%	1.00%	-5.70%	4.90%	-6.00%
 LAVAL 	0	0	1	1	1	N/A	N/A	4.30%	10.60%	2.30%	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	24.80%	4.60%	12.50%	0.70%	10.00%	8.70%	17.40%	12.80%	-3.30%	1.80%	17.60%	0.40%	-0.60%	-21.90%	13.40%	2.30%	8.80%	11.30%	32.00%	15.50%	12.80%	4.80%	12.50%	-7.20%	16.80%	-2.90%	12.90%	2.30%	-5.40%	-10.00%
