inam,1973-74,1974-75,1975-76,1976-77,1977-78,1978-79,1979-80,1980-81,1981-82,1982-83,1983-84,1984-85,1985-86,1986-87, 1987-88 , 1988-89 , 1989-90 , 1990-91 , 1991-92 , 1992-93 , 1993-94 , 1994-95 , 1995-96 , 1996-97 , 1997-98 , 1998-99 , 1999-2000 ,2000-01, 2001-02 , 2002-03 , 2003-04 , 2004-05 ,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15
" CALIFORNIA, SAN DIEGO "," $1,206,514.00 "," $1,085,921.00 "," $1,286,564.00 "," $1,285,131.00 "," $1,486,390.00 "," $1,722,651.00 "," $1,791,551.00 "," $2,021,583.00 "," $2,248,442.00 "," $2,515,033.00 "," $2,727,372.00 "," $3,093,398.00 "," $3,576,525.00 "," $3,661,659.00 "," $3,372,946.00 "," $4,066,901.00 "," $4,491,847.00 "," $4,521,659.00 "," $4,618,958.00 "," $4,634,591.00 "," $4,745,537.00 "," $5,432,434.00 "," $5,718,491.00 "," $5,701,433.00 "," $5,694,576.00 "," $5,876,129.00 "," $6,489,326.00 "," $7,661,322.00 "," $7,576,614.00 "," $8,165,077.00 "," $8,276,175.00 "," $8,324,922.00 "," $7,922,917.00 "," $8,501,529.00 "," $9,583,762.00 "," $9,876,233.00 "," $9,548,345.00 "," $8,899,954.00 "," $8,950,180.00 "," $8,934,949.00 "," $9,566,270.00 ","$9,120,403.00 "
" CALIFORNIA, SANTA BARBARA "," $1,107,130.00 "," $1,145,899.00 "," $1,408,264.00 "," $1,200,095.00 "," $1,436,989.00 "," $1,643,410.00 "," $1,633,949.00 "," $2,197,000.00 "," $2,383,000.00 "," $2,321,075.00 "," $2,312,738.00 "," $2,672,877.00 "," $3,078,333.00 "," $3,283,591.00 "," $3,327,917.00 "," $3,083,557.00 "," $3,289,142.00 "," $3,707,084.00 "," $3,764,760.00 "," $3,533,665.00 "," $3,345,796.00 "," $3,808,441.00 "," $3,391,780.00 "," $4,604,185.00 "," $3,316,315.00 "," $4,792,474.00 "," $4,116,507.00 "," $5,256,693.00 "," $5,578,014.00 "," $6,712,783.00 "," $5,663,097.00 "," $5,712,246.00 "," $5,236,330.00 "," $5,423,851.00 "," $5,798,983.00 "," $5,449,640.00 "," $4,807,044.00 "," $5,862,236.00 "," $5,370,348.00 "," $5,544,275.00 "," $5,860,806.00 ","$5,478,374.00 "
 CASE WESTERN RESERVE ," $579,461.00 "," $559,884.00 "," $748,410.00 "," $789,729.00 "," $836,006.00 "," $894,353.00 "," $951,442.00 "," $1,208,446.00 "," $1,140,941.00 "," $1,242,712.00 "," $1,355,131.00 "," $1,553,096.00 "," $1,757,829.00 "," $2,020,862.00 "," $2,329,946.00 "," $2,488,428.00 "," $2,664,555.00 "," $2,785,073.00 "," $3,159,555.00 "," $3,507,782.00 "," $3,794,502.00 "," $3,993,396.00 "," $4,012,726.00 "," $4,212,479.00 "," $4,313,856.00 "," $4,409,352.00 "," $4,723,693.00 "," $4,930,501.00 "," $5,154,608.00 "," $5,790,209.00 "," $6,487,601.00 "," $6,784,251.00 "," $6,304,139.00 "," $6,332,322.00 "," $6,702,608.00 "," $6,707,114.00 "," $7,076,887.00 "," $7,392,519.00 "," $7,240,935.00 "," $7,271,241.00 "," $7,656,923.00 ","$6,832,565.00 "
 CENTER FOR RESEARCH LIBS , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A ," $899,533.00 "," $1,072,149.00 "," $1,027,460.15 "," $1,271,497.00 ", N/A , N/A , N/A , N/A ," $1,234,430.00 ","$2,020,000.00 "
 CHICAGO ," $1,239,060.00 "," $1,397,287.00 "," $1,438,465.00 "," $1,426,949.00 "," $1,357,048.00 "," $1,700,385.00 "," $1,935,783.00 "," $2,232,777.00 "," $2,004,950.00 "," $2,504,372.00 "," $2,549,954.00 "," $2,979,870.00 "," $3,443,966.00 "," $4,097,331.00 "," $3,926,670.00 "," $4,449,233.00 "," $4,782,003.00 "," $5,295,072.00 "," $5,683,542.00 "," $5,908,213.00 "," $6,200,721.00 "," $7,139,176.00 "," $7,754,976.00 "," $7,891,286.00 "," $7,918,951.00 "," $9,214,408.00 "," $9,615,025.00 "," $11,163,429.00 "," $11,818,383.00 "," $12,605,544.00 "," $13,462,639.00 "," $13,489,603.00 "," $16,462,379.00 "," $16,130,090.00 "," $17,704,138.00 "," $18,073,119.00 "," $18,143,564.00 "," $18,680,779.00 "," $18,752,146.00 "," $18,265,289.00 "," $19,176,653.00 ","$17,911,128.00 "
 CINCINNATI ," $884,104.00 "," $850,222.00 "," $918,179.00 "," $935,182.00 "," $1,058,146.00 "," $1,230,585.00 "," $1,637,405.00 "," $2,372,272.00 "," $1,815,229.00 "," $2,256,060.00 "," $2,207,972.00 "," $2,448,460.00 "," $2,709,140.00 "," $3,123,419.00 "," $3,515,282.00 "," $3,874,395.00 "," $3,952,796.00 "," $4,631,643.00 "," $4,020,609.00 "," $4,597,854.00 "," $5,043,940.00 "," $5,171,992.00 "," $5,331,883.00 "," $5,674,995.00 "," $6,067,551.00 "," $6,553,461.00 "," $7,025,585.00 "," $7,616,567.00 "," $8,031,454.00 "," $8,280,686.00 "," $9,093,736.00 "," $10,074,470.00 "," $10,209,066.00 "," $9,600,793.00 "," $10,283,685.00 "," $10,179,240.00 "," $10,259,873.00 "," $10,550,517.00 "," $10,455,686.00 "," $10,594,035.00 "," $10,177,665.00 ","$10,451,640.00 "
 COLORADO ," $1,242,111.00 "," $1,081,147.00 "," $850,205.00 "," $925,669.00 "," $901,698.00 "," $1,066,787.00 "," $1,039,934.00 "," $1,181,160.00 "," $1,730,097.00 "," $1,839,710.00 "," $1,958,223.00 "," $2,127,094.00 "," $2,261,107.00 "," $2,638,857.00 "," $2,867,358.00 "," $3,781,405.00 "," $4,494,282.00 "," $4,717,514.00 "," $6,536,336.00 "," $6,597,445.00 "," $6,402,328.00 "," $6,486,127.00 "," $7,564,265.00 "," $8,064,613.00 "," $7,555,744.00 "," $8,154,813.00 "," $7,864,235.00 "," $7,944,001.00 "," $8,248,029.00 "," $8,532,696.00 "," $8,628,115.00 "," $8,801,962.00 "," $9,315,863.00 "," $9,633,354.00 "," $11,014,761.00 "," $11,394,102.00 "," $11,420,186.00 "," $10,351,477.00 "," $10,646,577.00 "," $10,913,873.00 "," $11,200,366.00 ","$12,973,728.00 "
 COLORADO STATE , N/A ," $631,278.00 "," $707,475.00 "," $739,778.00 "," $766,879.00 "," $781,235.00 "," $874,798.00 "," $1,016,568.00 "," $1,166,275.00 "," $1,213,803.00 "," $1,527,806.00 "," $1,416,294.00 "," $1,388,706.00 "," $1,715,111.00 "," $2,331,803.00 "," $2,593,129.00 "," $2,826,499.00 "," $2,640,751.00 "," $2,941,891.00 "," $3,178,542.00 "," $3,491,081.00 "," $3,838,050.00 "," $4,029,523.00 "," $4,466,845.00 "," $4,518,305.00 "," $4,837,053.00 "," $6,315,673.00 "," $6,605,479.00 "," $5,905,397.00 "," $8,550,597.00 "," $8,529,548.00 "," $6,237,544.00 "," $6,265,271.00 "," $6,279,281.00 "," $6,545,964.00 "," $6,509,389.00 "," $7,021,010.00 "," $6,768,578.00 "," $7,231,231.00 "," $7,623,959.00 "," $7,823,526.00 ","$8,354,709.00 "
 COLUMBIA ," $1,452,081.00 "," $1,400,105.00 "," $1,734,282.00 "," $1,640,032.00 "," $2,064,341.00 "," $2,163,221.00 "," $2,756,222.00 "," $2,785,598.00 "," $2,672,123.00 "," $3,325,112.00 "," $3,711,320.00 "," $4,260,392.00 "," $4,779,944.00 "," $5,042,399.00 "," $5,651,091.00 "," $6,248,763.00 "," $6,735,460.00 "," $7,531,880.00 "," $7,677,212.00 "," $8,076,389.00 "," $8,711,720.00 "," $8,921,823.00 "," $9,630,835.00 "," $10,226,909.00 "," $11,441,445.00 "," $11,976,363.00 "," $12,883,879.00 "," $13,634,529.00 "," $14,719,764.00 "," $15,054,531.00 "," $17,588,988.00 "," $19,159,897.00 "," $21,017,791.00 "," $22,247,648.00 "," $23,685,056.00 "," $24,555,907.00 "," $26,445,238.00 "," $26,655,182.00 "," $27,223,728.00 "," $27,724,152.00 "," $29,500,049.00 ","$31,178,000.00 "
 CONNECTICUT ," $1,340,023.00 "," $1,137,286.00 "," $1,299,973.00 "," $1,393,865.00 "," $1,386,770.00 "," $1,715,247.00 "," $1,470,850.00 "," $1,597,073.00 "," $1,496,816.00 "," $1,837,211.00 "," $2,026,615.00 "," $2,398,835.00 "," $2,660,868.00 "," $2,919,961.00 "," $3,268,212.00 "," $4,102,661.00 "," $4,090,080.00 "," $4,282,446.00 "," $4,211,234.00 "," $5,015,905.00 "," $4,616,248.00 "," $4,744,639.00 "," $4,763,339.00 "," $6,021,429.00 "," $5,591,565.00 "," $6,358,151.00 "," $7,726,340.00 "," $7,159,263.00 "," $7,338,672.00 "," $7,424,733.00 "," $8,286,431.00 "," $8,200,363.00 "," $7,854,879.00 "," $8,917,973.00 "," $8,984,063.00 "," $10,158,424.00 "," $10,315,247.52 "," $10,472,246.58 "," $10,655,882.00 "," $10,852,149.00 "," $10,693,308.00 ","$11,414,580.00 "
 CORNELL ," $2,117,528.00 "," $1,728,540.00 "," $1,892,929.00 "," $2,109,271.00 "," $2,337,368.00 "," $2,494,732.00 "," $2,858,687.00 "," $3,236,211.00 "," $3,157,799.00 "," $3,744,400.00 "," $4,236,515.00 "," $4,331,291.00 "," $4,981,874.00 "," $5,624,001.00 "," $4,905,819.00 "," $5,746,133.00 "," $5,998,611.00 "," $7,175,388.00 "," $7,471,810.00 "," $8,798,108.00 "," $8,692,678.00 "," $8,960,279.00 "," $9,159,829.00 "," $9,687,056.00 "," $10,615,658.00 "," $11,112,302.00 "," $11,605,467.00 "," $12,529,064.00 "," $13,503,577.00 "," $13,582,562.00 "," $16,441,789.00 "," $13,774,489.00 "," $14,381,579.00 "," $15,012,671.00 "," $15,843,247.00 "," $16,161,049.00 "," $14,917,133.00 "," $15,901,598.00 "," $19,294,706.00 "," $19,863,959.00 "," $21,560,997.00 ","$21,199,087.00 "
 DARTMOUTH ," $777,169.00 "," $771,262.00 "," $859,353.00 "," $958,716.00 "," $1,030,284.00 "," $1,068,668.00 "," $1,161,501.00 "," $1,325,349.00 "," $1,376,022.00 "," $1,578,641.00 "," $1,768,360.00 "," $1,910,428.00 "," $2,142,200.00 "," $2,507,183.00 "," $2,442,281.00 "," $3,086,605.00 "," $2,938,569.00 "," $3,285,935.00 "," $3,702,350.00 "," $3,767,688.00 "," $3,928,607.00 "," $4,007,647.00 "," $4,336,681.00 "," $4,684,102.00 "," $5,062,574.00 "," $5,306,411.00 "," $5,987,075.00 "," $6,236,384.00 "," $6,890,710.00 "," $6,883,720.00 "," $7,175,586.00 "," $7,238,345.00 "," $7,748,473.00 "," $8,399,585.00 "," $8,871,179.00 "," $9,399,296.00 "," $9,421,474.00 "," $8,833,390.00 "," $9,706,907.00 "," $10,260,507.00 "," $10,695,121.00 ","$10,646,487.00 "
 DELAWARE , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A ," $2,085,967.00 "," $2,432,455.00 "," $2,756,606.00 "," $2,929,809.00 "," $3,200,760.00 "," $3,508,041.00 "," $4,014,354.00 "," $4,317,829.00 "," $4,122,166.00 "," $4,156,510.00 "," $4,097,346.00 "," $4,327,411.00 "," $4,517,596.00 "," $4,783,698.00 "," $4,911,826.00 "," $5,268,458.00 "," $5,878,250.00 "," $5,917,523.00 "," $6,591,012.00 "," $6,436,668.00 "," $6,767,713.00 "," $7,110,202.00 "," $7,364,975.00 "," $8,005,686.00 "," $8,380,119.00 "," $8,809,088.00 "," $8,969,172.00 "," $9,169,159.00 "," $9,323,585.00 "," $9,349,319.00 "," $10,003,528.00 "," $10,469,873.00 ","$10,910,406.00 "
 DUKE ," $1,190,997.00 "," $1,354,505.00 "," $1,347,475.00 "," $1,411,193.00 "," $1,614,610.00 "," $1,801,479.00 "," $2,010,336.00 "," $2,225,639.00 "," $2,533,703.00 "," $2,700,586.00 "," $3,157,168.00 "," $3,102,947.00 "," $3,595,130.00 "," $4,218,253.00 "," $4,362,121.00 "," $4,905,558.00 "," $5,285,563.00 "," $5,211,822.00 "," $6,112,740.00 "," $6,472,726.00 "," $7,346,751.00 "," $7,485,402.00 "," $8,023,516.00 "," $8,703,646.00 "," $9,531,559.00 "," $9,827,544.00 "," $10,384,223.00 "," $11,094,808.00 "," $12,048,338.00 "," $12,545,843.00 "," $11,953,614.00 "," $12,279,569.00 "," $13,961,002.00 "," $16,736,707.00 "," $16,507,634.00 "," $16,451,465.00 "," $17,528,304.00 "," $18,112,394.00 "," $19,059,644.00 "," $19,684,571.00 "," $18,720,375.00 ","$20,249,177.00 "
