,1970s: Full data?,1980s: Full data?,1990s: Full data?,2000s: Full data?,2010s: Full data?,1970s,1980s,1990s,2000s,2010s,1974-75,1975-76,1976-77,1977-78,1978-79,1979-80,1980-81,1981-82,1982-83,1983-84,1984-85,1985-86,1986-87,1987-88,1988-89,1989-90,1990-91,1991-92,1992-93,1993-94,1994-95,1995-96,1996-97,1997-98,1998-99,1999-2000,2000-01,2001-02,2002-03,2003-04,2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15
" CALIFORNIA, IRVINE ",0,0,1,1,1,N/A,N/A,5.5%,5.7%,0.1%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.5%,23.7%,5.1%,11.4%,10.8%,1.5%,-2.8%,13.3%,4.6%,5.2%,13.9%,-11.0%,4.4%,5.8%,3.7%,-8.1%,10.4%,26.6%,21.7%,-8.8%,6.1%,7.3%,-5.5%,2.7%,12.8%,10.4%,10.2%,-0.2%,2.4%,-8.9%,-8.6%,4.2%,10.5%,1.1%
" CALIFORNIA, LOS ANGELES ",1,1,1,1,1,9.0%,9.8%,96.9%,3.4%,1.5%,-2.9%,9.3%,2.6%,23.4%,12.8%,7.9%,8.0%,15.3%,18.2%,5.0%,12.3%,17.1%,8.8%,-4.1%,9.5%,1031.5%,-90.6%,-0.3%,2.9%,4.4%,5.9%,0.1%,-3.3%,4.5%,13.9%,-3.1%,8.0%,19.3%,-7.2%,0.6%,-6.7%,27.5%,-1.7%,0.7%,-3.6%,-14.3%,8.9%,2.3%,3.9%,8.8%,-0.4%
" CALIFORNIA, RIVERSIDE ",0,1,1,1,1,N/A,11.7%,6.4%,2.3%,0.6%,N/A,N/A,N/A,N/A,N/A,19.4%,-36.4%,94.3%,5.2%,8.2%,18.4%,6.1%,8.4%,-2.8%,-3.6%,23.2%,-3.1%,-2.0%,3.6%,5.3%,10.1%,5.1%,2.7%,8.4%,10.6%,0.2%,2.9%,-5.0%,18.6%,12.3%,4.4%,12.2%,1.1%,-7.0%,-16.4%,3.8%,-8.0%,-10.9%,5.4%,2.7%,10.4%
" CALIFORNIA, SAN DIEGO ",1,1,1,1,1,8.0%,9.2%,3.9%,5.5%,-1.2%,-10.0%,18.5%,-0.1%,15.7%,15.9%,4.0%,12.8%,11.2%,11.9%,8.4%,13.4%,15.6%,2.4%,-7.9%,20.6%,10.4%,0.7%,2.2%,0.3%,2.4%,14.5%,5.3%,-0.3%,-0.1%,3.2%,10.4%,18.1%,-1.1%,7.8%,1.4%,0.6%,-4.8%,7.3%,12.7%,3.1%,-3.3%,-6.8%,0.6%,-0.2%,7.1%,-4.7%
" CALIFORNIA, SANTA BARBARA ",1,1,1,1,1,9.1%,7.1%,6.5%,2.1%,0.7%,3.5%,22.9%,-14.8%,19.7%,14.4%,-0.6%,34.5%,8.5%,-2.6%,-0.4%,15.6%,15.2%,6.7%,1.3%,-7.3%,6.7%,12.7%,1.6%,-6.1%,-5.3%,13.8%,-10.9%,35.7%,-28.0%,44.5%,-14.1%,27.7%,6.1%,20.3%,-15.6%,0.9%,-8.3%,3.6%,6.9%,-6.0%,-11.8%,22.0%,-8.4%,3.2%,5.7%,-6.5%
 CASE WESTERN RESERVE ,1,1,1,1,1,9.7%,11.1%,6.0%,4.4%,0.5%,-3.4%,33.7%,5.5%,5.9%,7.0%,6.4%,27.0%,-5.6%,8.9%,9.0%,14.6%,13.2%,15.0%,15.3%,6.8%,7.1%,4.5%,13.4%,11.0%,8.2%,5.2%,0.5%,5.0%,2.4%,2.2%,7.1%,4.4%,4.5%,12.3%,12.0%,4.6%,-7.1%,0.4%,5.8%,0.1%,5.5%,4.5%,-2.1%,0.4%,5.3%,-10.8%
 CENTER FOR RESEARCH LIBS ,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,19.2%,-4.2%,23.8%,N/A,N/A,N/A,N/A,N/A,63.6%
 CHICAGO ,1,1,1,1,1,7.1%,10.6%,7.7%,7.2%,-0.1%,12.8%,2.9%,-0.8%,-4.9%,25.3%,13.8%,15.3%,-10.2%,24.9%,1.8%,16.9%,15.6%,19.0%,-4.2%,13.3%,7.5%,10.7%,7.3%,4.0%,5.0%,15.1%,8.6%,1.8%,0.4%,16.4%,4.3%,16.1%,5.9%,6.7%,6.8%,0.2%,22.0%,-2.0%,9.8%,2.1%,0.4%,3.0%,0.4%,-2.6%,5.0%,-6.6%
 CINCINNATI ,1,1,1,1,1,7.1%,13.6%,5.7%,4.6%,0.5%,-3.8%,8.0%,1.9%,13.1%,16.3%,33.1%,44.9%,-23.5%,24.3%,-2.1%,10.9%,10.6%,15.3%,12.5%,10.2%,2.0%,17.2%,-13.2%,14.4%,9.7%,2.5%,3.1%,6.4%,6.9%,8.0%,7.2%,8.4%,5.4%,3.1%,9.8%,10.8%,1.3%,-6.0%,7.1%,-1.0%,0.8%,2.8%,-0.9%,1.3%,-3.9%,2.7%
 COLORADO ,1,1,1,1,1,-1.9%,14.2%,8.7%,3.5%,2.4%,-13.0%,-21.4%,8.9%,-2.6%,18.3%,-2.5%,13.6%,46.5%,6.3%,6.4%,8.6%,6.3%,16.7%,8.7%,31.9%,18.9%,5.0%,38.6%,0.9%,-3.0%,1.3%,16.6%,6.6%,-6.3%,7.9%,-3.6%,1.0%,3.8%,3.5%,1.1%,2.0%,5.8%,3.4%,14.3%,3.4%,0.2%,-9.4%,2.9%,2.5%,2.6%,15.8%
 COLORADO STATE ,0,1,1,1,1,N/A,13.4%,6.6%,4.7%,4.3%,N/A,12.1%,4.6%,3.7%,1.9%,12.0%,16.2%,14.7%,4.1%,25.9%,-7.3%,-1.9%,23.5%,36.0%,11.2%,9.0%,-6.6%,11.4%,8.0%,9.8%,9.9%,5.0%,10.9%,1.2%,7.1%,30.6%,4.6%,-10.6%,44.8%,-0.2%,-26.9%,0.4%,0.2%,4.2%,-0.6%,7.9%,-3.6%,6.8%,5.4%,2.6%,6.8%
 COLUMBIA ,1,1,1,1,1,9.1%,11.6%,6.8%,7.5%,4.1%,-3.6%,23.9%,-5.4%,25.9%,4.8%,27.4%,1.1%,-4.1%,24.4%,11.6%,14.8%,12.2%,5.5%,12.1%,10.6%,7.8%,11.8%,1.9%,5.2%,7.9%,2.4%,7.9%,6.2%,11.9%,4.7%,7.6%,5.8%,8.0%,2.3%,16.8%,8.9%,9.7%,5.9%,6.5%,3.7%,7.7%,0.8%,2.1%,1.8%,6.4%,5.7%
 CONNECTICUT ,1,1,1,1,1,5.9%,9.8%,5.0%,5.2%,2.0%,-15.1%,14.3%,7.2%,-0.5%,23.7%,-14.2%,8.6%,-6.3%,22.7%,10.3%,18.4%,10.9%,9.7%,11.9%,25.5%,-0.3%,4.7%,-1.7%,19.1%,-8.0%,2.8%,0.4%,26.4%,-7.1%,13.7%,21.5%,-7.3%,2.5%,1.2%,11.6%,-1.0%,-4.2%,13.5%,0.7%,13.1%,1.5%,1.5%,1.8%,1.8%,-1.5%,6.7%
 CORNELL ,1,1,1,1,1,4.0%,9.2%,7.0%,4.2%,5.0%,-18.4%,9.5%,11.4%,10.8%,6.7%,14.6%,13.2%,-2.4%,18.6%,13.1%,2.2%,15.0%,12.9%,-12.8%,17.1%,4.4%,19.6%,4.1%,17.8%,-1.2%,3.1%,2.2%,5.8%,9.6%,4.7%,4.4%,8.0%,7.8%,0.6%,21.1%,-16.2%,4.4%,4.4%,5.5%,2.0%,-7.7%,6.6%,21.3%,3.0%,8.5%,-1.7%
 DARTMOUTH ,1,1,1,1,1,6.7%,11.4%,5.7%,6.0%,2.2%,-0.8%,11.4%,11.6%,7.5%,3.7%,8.7%,14.1%,3.8%,14.7%,12.0%,8.0%,12.1%,17.0%,-2.6%,26.4%,-4.8%,11.8%,12.7%,1.8%,4.3%,2.0%,8.2%,8.0%,8.1%,4.8%,12.8%,4.2%,10.5%,-0.1%,4.2%,0.9%,7.0%,8.4%,5.6%,6.0%,0.2%,-6.2%,9.9%,5.7%,4.2%,-0.5%
 DELAWARE ,0,0,1,1,1,N/A,N/A,4.0%,4.4%,3.3%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,16.6%,13.3%,6.3%,9.2%,9.6%,14.4%,7.6%,-4.5%,0.8%,-1.4%,5.6%,4.4%,5.9%,2.7%,7.3%,11.6%,0.7%,11.4%,-2.3%,5.1%,5.1%,3.6%,8.7%,4.7%,5.1%,1.8%,2.2%,1.7%,0.3%,7.0%,4.7%,4.2%
 DUKE ,1,1,1,1,1,8.8%,10.7%,7.3%,5.5%,3.6%,13.7%,-0.5%,4.7%,14.4%,11.6%,11.6%,10.7%,13.8%,6.6%,16.9%,-1.7%,15.9%,17.3%,3.4%,12.5%,7.7%,-1.4%,17.3%,5.9%,13.5%,1.9%,7.2%,8.5%,9.5%,3.1%,5.7%,6.8%,8.6%,4.1%,-4.7%,2.7%,13.7%,19.9%,-1.4%,-0.3%,6.5%,3.3%,5.2%,3.3%,-4.9%,8.2%
 EMORY ,1,1,1,1,1,47.5%,-1.4%,8.2%,7.2%,1.4%,N/A,217.4%,-60.1%,12.3%,20.5%,-100.0%,N/A,9.4%,9.8%,9.8%,13.1%,6.4%,13.4%,13.8%,11.5%,9.2%,14.8%,0.2%,10.6%,15.1%,2.4%,7.9%,7.5%,16.1%,-2.1%,16.0%,-3.3%,15.4%,1.0%,7.0%,10.2%,5.3%,12.8%,-6.2%,13.9%,-2.8%,0.1%,2.2%,4.5%,0.4%,3.8%
 FLORIDA ,1,1,1,1,1,43.6%,3.7%,8.3%,3.6%,1.4%,-20.7%,5.2%,-1.6%,223.4%,11.6%,-19.9%,-2.8%,-15.6%,4.5%,-10.9%,28.8%,25.4%,7.5%,17.2%,2.6%,49.9%,-25.3%,-18.5%,8.5%,20.6%,9.3%,4.3%,10.3%,25.3%,-1.1%,10.6%,21.5%,-6.2%,-8.4%,-0.5%,5.2%,1.1%,9.5%,4.9%,-1.3%,-2.1%,14.1%,-5.0%,0.4%,-1.9%,2.8%
 FLORIDA STATE ,1,1,1,1,1,41.7%,4.3%,5.4%,6.9%,3.0%,-11.9%,-11.5%,-5.1%,236.2%,0.8%,-34.7%,1.5%,-16.6%,5.3%,-14.9%,46.4%,24.7%,16.2%,5.8%,9.0%,53.4%,-25.5%,-2.9%,3.6%,-0.6%,13.0%,-5.4%,3.1%,15.5%,-0.4%,8.3%,69.6%,-29.6%,2.5%,-4.2%,4.3%,10.8%,-10.6%,19.6%,-1.5%,8.5%,16.0%,-10.4%,-2.0%,6.0%,0.1%
 GEORGE WASHINGTON ,0,0,0,1,1,N/A,N/A,N/A,7.1%,2.0%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8.8%,-0.5%,6.8%,30.8%,11.0%,8.5%,-6.0%,3.1%,7.1%,2.5%,7.6%,3.0%,0.1%,3.9%,-1.5%,3.4%,3.3%
 GEORGETOWN ,1,1,1,1,1,8.3%,11.2%,7.6%,6.1%,2.0%,12.7%,-14.4%,18.0%,18.5%,6.6%,25.7%,10.9%,9.9%,15.5%,11.8%,13.1%,11.3%,4.0%,1.9%,8.3%,19.6%,6.4%,9.0%,7.0%,4.8%,12.1%,2.7%,9.0%,-1.3%,7.1%,10.6%,5.3%,-1.1%,7.3%,7.6%,4.7%,15.1%,0.3%,4.0%,6.8%,0.8%,-2.9%,5.1%,11.1%,4.9%,-6.8%
 GEORGIA ,1,1,1,1,1,3.4%,8.5%,6.5%,2.0%,4.1%,-6.1%,9.5%,0.2%,6.0%,7.1%,5.9%,2.4%,15.0%,10.2%,8.4%,12.2%,17.3%,-1.9%,1.9%,14.0%,12.4%,-6.5%,11.6%,2.9%,4.1%,7.8%,7.1%,5.7%,14.5%,5.1%,3.9%,5.6%,2.1%,2.8%,4.3%,7.0%,1.9%,5.4%,-1.8%,-10.7%,1.2%,8.1%,3.2%,2.7%,6.7%,2.7%
 GEORGIA TECH ,0,0,1,1,1,N/A,N/A,7.8%,3.7%,4.8%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-4.8%,6.7%,-0.4%,18.0%,21.5%,11.7%,-5.1%,7.4%,6.2%,-0.4%,26.5%,14.1%,7.8%,5.3%,16.1%,0.0%,2.1%,-2.6%,7.2%,-2.2%,15.5%,2.7%,0.2%,11.4%,4.9%,-2.7%,-4.7%,14.9%,4.9%,-1.6%,9.6%,6.0%
 GUELPH ,0,1,1,1,1,N/A,6.5%,3.7%,9.3%,2.4%,N/A,N/A,N/A,N/A,N/A,-6.5%,28.3%,7.7%,6.8%,7.4%,-13.5%,24.9%,-4.0%,-0.1%,13.8%,31.1%,-8.9%,7.7%,8.1%,-7.1%,0.4%,-4.8%,10.7%,-8.6%,8.5%,8.8%,-3.7%,-1.6%,25.3%,29.0%,13.1%,6.7%,7.3%,5.1%,2.4%,6.8%,6.8%,3.1%,5.6%,-0.8%,-6.8%
 HARVARD ,1,1,1,1,1,9.3%,9.7%,7.2%,5.3%,5.8%,-4.5%,13.4%,9.1%,9.1%,19.4%,17.3%,14.5%,0.9%,8.1%,13.0%,-2.8%,16.0%,18.0%,5.9%,6.0%,4.1%,7.9%,5.5%,8.2%,6.1%,4.2%,5.7%,10.8%,10.3%,9.7%,4.9%,5.6%,9.0%,3.5%,5.1%,-1.1%,2.1%,5.5%,15.5%,2.9%,-8.4%,-3.5%,44.8%,-5.3%,4.7%,2.3%
 HAWAII ,0,1,1,1,1,N/A,8.7%,4.2%,7.6%,5.6%,N/A,N/A,-5.7%,20.9%,3.9%,21.5%,8.7%,17.4%,2.5%,-4.7%,2.0%,24.6%,-3.0%,7.3%,10.3%,17.0%,1.1%,12.9%,3.6%,9.0%,-20.3%,-13.6%,5.4%,12.6%,14.6%,15.5%,-1.2%,21.6%,7.5%,1.6%,-5.7%,28.8%,3.3%,-8.8%,13.1%,-10.5%,-1.0%,11.2%,10.7%,-11.2%,34.2%
 HOUSTON ,0,1,1,1,1,N/A,6.1%,5.9%,7.3%,3.8%,N/A,5.0%,5.4%,-20.5%,1.0%,-25.9%,0.7%,19.2%,30.2%,6.4%,12.2%,-3.5%,1.5%,13.7%,6.1%,-14.5%,7.2%,19.6%,17.0%,8.8%,9.3%,-9.4%,4.7%,13.2%,2.6%,23.4%,1.5%,6.2%,3.4%,5.1%,6.4%,5.7%,2.2%,7.4%,11.1%,6.5%,3.2%,-2.8%,11.6%,-3.3%,7.4%
 HOWARD ,1,1,1,1,1,26.6%,15.1%,6.7%,-3.1%,3.7%,30.8%,-13.0%,86.1%,23.9%,5.1%,46.8%,41.4%,25.3%,-4.5%,49.1%,-41.2%,21.2%,20.3%,0.4%,-7.8%,-0.1%,5.7%,2.6%,-12.1%,5.1%,18.1%,-16.8%,-0.8%,29.7%,35.1%,-42.9%,-0.7%,15.4%,1.1%,-7.9%,-1.7%,-12.2%,3.9%,7.9%,6.5%,-22.5%,23.2%,-3.5%,26.3%,21.8%,-22.9%
" ILLINOIS, CHICAGO ",0,0,1,1,1,N/A,N/A,5.8%,6.7%,-1.4%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9.2%,9.8%,8.5%,-9.4%,17.3%,-3.3%,7.2%,17.7%,-0.3%,-8.3%,18.6%,15.0%,-2.4%,6.6%,-5.7%,14.3%,5.3%,5.7%,4.4%,7.0%,17.1%,-23.2%,9.7%,1.8%,-4.1%,-8.4%,15.8%
" ILLINOIS, URBANA ",1,1,1,1,1,5.9%,8.0%,5.3%,4.7%,5.2%,3.8%,-19.7%,42.5%,-21.3%,24.4%,12.6%,1.7%,27.3%,-12.4%,24.1%,8.1%,5.6%,-5.8%,11.6%,7.7%,9.2%,-0.5%,7.8%,1.9%,11.4%,0.8%,2.8%,3.4%,8.8%,7.8%,3.4%,18.1%,0.8%,3.0%,3.1%,5.7%,-7.7%,20.7%,-3.2%,3.3%,5.2%,8.1%,15.6%,-0.3%,0.9%,1.7%
 INDIANA ,1,1,1,1,1,13.1%,4.9%,5.7%,5.4%,2.9%,12.3%,20.2%,-0.7%,7.5%,26.0%,-34.3%,14.7%,-2.7%,16.3%,10.7%,0.3%,11.4%,9.2%,5.1%,18.5%,11.0%,6.0%,6.1%,7.4%,7.9%,10.7%,-6.5%,8.5%,4.2%,1.6%,17.4%,-2.7%,8.1%,10.6%,0.8%,0.5%,9.7%,-4.9%,24.8%,-10.4%,-8.8%,5.6%,4.4%,2.1%,5.6%,8.6%
 IOWA ,1,1,1,1,1,14.8%,8.3%,5.9%,5.7%,5.0%,12.9%,30.9%,21.7%,5.0%,3.3%,8.6%,12.3%,7.8%,12.4%,-2.0%,10.6%,15.1%,9.5%,0.8%,7.7%,5.0%,7.6%,-2.9%,5.7%,5.1%,8.5%,3.0%,7.7%,12.5%,7.4%,9.5%,3.1%,8.9%,2.1%,6.6%,7.5%,5.7%,3.8%,4.3%,5.1%,5.5%,6.1%,6.6%,3.1%,6.0%,2.8%
 IOWA STATE ,1,1,1,1,1,7.9%,7.5%,7.8%,7.7%,2.4%,-2.7%,13.6%,14.0%,10.0%,4.5%,8.5%,4.2%,17.5%,12.7%,10.7%,7.3%,-7.5%,12.5%,-0.8%,10.2%,10.7%,8.0%,8.5%,11.8%,1.3%,8.0%,7.5%,8.4%,9.3%,4.3%,8.2%,9.5%,6.6%,12.7%,-8.1%,5.5%,3.4%,4.0%,1.2%,34.2%,-27.7%,34.6%,-6.7%,20.8%,-0.2%,-6.6%
 JOHNS HOPKINS ,1,1,1,1,1,5.0%,115.4%,7.4%,5.1%,5.0%,-3.5%,18.1%,5.8%,5.1%,-0.2%,23.5%,15.9%,12.8%,9.4%,4.3%,12.6%,-89.4%,1136.2%,20.5%,8.4%,5.7%,11.5%,10.9%,13.8%,2.8%,8.4%,5.6%,3.1%,8.9%,3.6%,9.7%,8.9%,2.1%,4.5%,8.4%,-0.1%,11.1%,4.1%,4.4%,-1.7%,0.0%,6.3%,9.6%,5.4%,3.5%,5.2%
 JOINT UNIVERSITY ,1,0,0,0,0,9.6%,N/A,N/A,N/A,N/A,25.6%,5.9%,0.1%,8.9%,7.3%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
 KANSAS ,1,1,1,1,1,13.4%,8.3%,5.7%,4.3%,1.0%,7.7%,-3.9%,44.0%,7.3%,12.0%,10.2%,19.8%,14.7%,6.5%,2.2%,10.6%,4.8%,7.6%,5.8%,0.5%,22.4%,-1.3%,2.4%,11.7%,1.1%,-2.2%,2.4%,12.5%,0.6%,7.0%,-0.8%,8.7%,5.9%,5.9%,-0.1%,8.2%,-3.4%,6.8%,11.4%,0.4%,-0.9%,-2.0%,8.8%,-6.6%,6.6%,-0.2%
 KENT STATE ,1,1,1,1,1,5.9%,13.5%,4.0%,4.1%,5.7%,0.1%,10.2%,17.5%,-15.0%,16.9%,33.8%,-3.5%,18.3%,-12.3%,-3.0%,43.4%,7.7%,0.7%,36.6%,13.8%,13.1%,7.4%,4.0%,1.3%,3.5%,-6.7%,16.2%,1.3%,0.1%,-0.5%,8.6%,8.0%,-5.0%,17.4%,3.1%,-12.0%,5.0%,7.5%,4.4%,4.0%,4.8%,18.7%,-0.3%,5.1%,-1.8%,7.5%
 KENTUCKY ,1,1,1,1,1,8.0%,7.9%,7.6%,5.7%,-0.6%,-7.9%,26.2%,14.1%,7.3%,0.5%,7.8%,11.4%,16.1%,11.8%,-5.8%,12.4%,5.6%,14.3%,-3.3%,9.2%,10.7%,4.5%,16.0%,-2.5%,2.0%,12.7%,4.9%,12.4%,7.2%,8.5%,20.4%,2.3%,25.2%,-4.2%,-0.4%,0.0%,0.5%,6.5%,3.4%,3.4%,1.6%,0.4%,1.0%,-5.7%,4.9%,-6.0%
